,market_ret
2011-09-14,0.0054716031
2011-09-15,-0.0023228981
2011-09-16,0.0013263117999999998
2011-09-19,-0.017945948599999997
2011-09-20,0.0040856594
2011-09-21,0.026639921100000002
2011-09-22,-0.0278181573
2011-09-23,-0.0040514814
2011-09-26,-0.0164296702
2011-09-27,0.0091388749
2011-09-28,-0.009520284
2011-09-29,-0.011169861000000001
2011-09-30,-0.0025886309
2011-10-10,-0.0061176999
2011-10-11,0.0015903364
2011-10-12,0.0304379446
2011-10-13,0.0077644628
2011-10-14,-0.0030404421999999996
2011-10-17,0.0037127139999999998
2011-10-18,-0.0233227968
2011-10-19,-0.0025059944000000002
2011-10-20,-0.0194093658
2011-10-21,-0.006044096
2011-10-24,0.0228967214
2011-10-25,0.0165964023
2011-10-26,0.007390217399999999
2011-10-27,0.0033507999999999997
2011-10-28,0.0155180583
2011-10-31,-0.0020861887
2011-11-01,0.0007167021
2011-11-02,0.0138011084
2011-11-03,0.001590187
2011-11-04,0.0080555323
2011-11-07,-0.0073152094
2011-11-08,-0.0023758875
2011-11-09,0.0084202799
2011-11-10,-0.0179740419
2011-11-11,0.0006243104
2011-11-14,0.019197254100000002
2011-11-15,0.00041404450000000003
2011-11-16,-0.0248252701
2011-11-17,-0.0015861634
2011-11-18,-0.0188725667
2011-11-21,-0.0005925774000000001
2011-11-22,-0.0010372112
2011-11-23,-0.0072783794
2011-11-24,0.0010392202
2011-11-25,-0.007228200099999999
2011-11-28,0.0011805612
2011-11-29,0.012320008899999998
2011-11-30,-0.0327388614
2011-12-01,0.022904636699999998
2011-12-02,-0.0109750886
2011-12-05,-0.0116217302
2011-12-06,-0.0031389975
2011-12-07,0.0029343417
2011-12-08,-0.0012474654
2011-12-09,-0.0062451176
2011-12-12,-0.010247185
2011-12-13,-0.0187449952
2011-12-14,-0.008923369799999999
2011-12-15,-0.0213728812
2011-12-16,0.0201499843
2011-12-19,-0.0029687528
2011-12-20,-0.0010391144
2011-12-21,-0.011183566300000001
2011-12-22,-0.002213908
2011-12-23,0.0084558502
2011-12-26,-0.0066555273
2011-12-27,-0.0109149769
2011-12-28,0.001757913
2011-12-29,0.0016350132000000001
2011-12-30,0.011895686400000001
2012-01-04,-0.0136522542
2012-01-05,-0.009651561
2012-01-06,0.006955240299999999
2012-01-09,0.0288874662
2012-01-10,0.0268899182
2012-01-11,-0.0042428198
2012-01-12,-0.0004551753
2012-01-13,-0.0133757654
2012-01-16,-0.017102085899999998
2012-01-17,0.041783742400000004
2012-01-18,-0.013919393499999998
2012-01-19,0.0131006043
2012-01-20,0.010035822000000002
2012-01-30,-0.0146952419
2012-01-31,0.0033137304
2012-02-01,-0.0106995957
2012-02-02,0.0196095376
2012-02-03,0.007718299600000001
2012-02-06,0.00031367939999999995
2012-02-07,-0.0168304209
2012-02-08,0.0242715439
2012-02-09,0.0008770920999999999
2012-02-10,0.0010180504
2012-02-13,-5.35719e-05
2012-02-14,-0.0030120905
2012-02-15,0.0093531522
2012-02-16,-0.0041585295
2012-02-17,0.00013619819999999999
2012-02-20,0.0027218953000000003
2012-02-21,0.007544856399999999
2012-02-22,0.0093040736
2012-02-23,0.0024825396
2012-02-24,0.012481148
2012-02-27,0.0030451363999999996
2012-02-28,0.0019615399
2012-02-29,-0.009531551000000001
2012-03-01,-0.0009767398
2012-03-02,0.014252415899999999
2012-03-05,-0.006376658899999999
2012-03-06,-0.0141337308
2012-03-07,-0.0064929919999999995
2012-03-08,0.0106405812
2012-03-09,0.0079271951
2012-03-12,-0.0018868915
2012-03-13,0.0085984445
2012-03-14,-0.026290875300000002
2012-03-15,-0.0073000088
2012-03-16,0.013043364699999999
2012-03-19,0.0022655294
2012-03-20,-0.0138350433
2012-03-21,0.0005705056
2012-03-22,-0.0010188399
2012-03-23,-0.011041884500000002
2012-03-26,0.0004511523
2012-03-27,-0.0014549482999999998
2012-03-28,-0.0265416485
2012-03-29,-0.0143206583
2012-03-30,0.0047190253
2012-04-05,0.017435570600000002
2012-04-06,0.0018729577
2012-04-09,-0.0090073803
2012-04-10,0.0087873839
2012-04-11,0.0013279193
2012-04-12,0.0181638641
2012-04-13,0.0035293407
2012-04-16,-0.0009049827
2012-04-17,-0.0093511909
2012-04-18,0.0196416679
2012-04-19,-0.0009299208
2012-04-20,0.0118677359
2012-04-23,-0.007592870900000001
2012-04-24,0.0001029897
2012-04-25,0.007526266
2012-04-26,-0.0008791709000000001
2012-04-27,-0.0034852624
2012-05-02,0.0175769807
2012-05-03,0.0006742025999999999
2012-05-04,0.0048908233
2012-05-07,-2.73245e-05
2012-05-08,-0.0012492113
2012-05-09,-0.0164552506
2012-05-10,0.0006821427
2012-05-11,-0.0063259523
2012-05-14,-0.005953278199999999
2012-05-15,-0.0024706759
2012-05-16,-0.0120643765
2012-05-17,0.013934920900000002
2012-05-18,-0.014446257600000002
2012-05-21,0.0016122703
2012-05-22,0.0106489801
2012-05-23,-0.004158754
2012-05-24,-0.0052736756
2012-05-25,-0.007409698
2012-05-28,0.0119191636
2012-05-29,0.011971455499999999
2012-05-30,-0.0020789777
2012-05-31,-0.005214143
2012-06-01,0.0005066954
2012-06-04,-0.027338424099999998
2012-06-05,0.0014580581000000002
2012-06-06,-0.0010212309
2012-06-07,-0.007111759600000001
2012-06-08,-0.0050947831
2012-06-11,0.0106989117
2012-06-12,-0.0069670439
2012-06-13,0.0127229952
2012-06-14,-0.009908906
2012-06-15,0.004749240599999999
2012-06-18,0.0039889893
2012-06-19,-0.0065875032
2012-06-20,-0.0034414192
2012-06-21,-0.0139562654
2012-06-25,-0.0162605042
2012-06-26,-0.0009203665
2012-06-27,-0.0023100114
2012-06-28,-0.0095135895
2012-06-29,0.013474551699999998
2012-07-02,0.0003051094
2012-07-03,0.0013849270999999998
2012-07-04,-0.0008424573
2012-07-05,-0.0116561869
2012-07-06,0.0100965179
2012-07-09,-0.023729761800000002
2012-07-10,-0.0029376077
2012-07-11,0.0050572043
2012-07-12,0.0046465381
2012-07-13,0.0001848555
2012-07-16,-0.0173567349
2012-07-17,0.0061598125
2012-07-18,0.0036614154999999996
2012-07-19,0.007257391199999999
2012-07-20,-0.007416100300000001
2012-07-23,-0.0125590347
2012-07-24,0.0024222449
2012-07-25,-0.0048625983
2012-07-26,-0.0047501324
2012-07-27,0.0012986805000000001
2012-07-30,-0.0088553692
2012-07-31,-0.0029764246
2012-08-01,0.0093771065
2012-08-02,-0.0057352498
2012-08-03,0.0102378667
2012-08-06,0.010371362299999999
2012-08-07,0.0012548053
2012-08-08,0.0015619062000000001
2012-08-09,0.0060675894
2012-08-10,-0.0024322686
2012-08-13,-0.0150939638
2012-08-14,0.0030181481999999996
2012-08-15,-0.011005705900000001
2012-08-16,-0.0031846037
2012-08-17,0.0012754492
2012-08-20,-0.0037514936
2012-08-21,0.0053684056999999995
2012-08-22,-0.0049837886
2012-08-23,0.0025435175999999997
2012-08-24,-0.009922993599999999
2012-08-27,-0.0173968407
2012-08-28,0.0084866139
2012-08-29,-0.0096080658
2012-08-30,-0.00031657360000000005
2012-08-31,-0.0024666457
2012-09-03,0.0056775947
2012-09-04,-0.0075264175
2012-09-05,-0.0029202666
2012-09-06,0.006986864000000001
2012-09-07,0.036962490699999996
2012-09-10,0.0033514087
2012-09-11,-0.0067164959
2012-09-12,0.0028294493
2012-09-13,-0.0076062023
2012-09-14,0.0063817921
2012-09-17,-0.0213513497
2012-09-18,-0.0091205196
2012-09-19,0.0040241937
2012-09-20,-0.0207918345
2012-09-21,0.0009151354
2012-09-24,0.0032081867
2012-09-25,-0.0019176743
2012-09-26,-0.0123791882
2012-09-27,0.026021219699999997
2012-09-28,0.0145142568
2012-10-08,-0.0056323337
2012-10-09,0.0196734604
2012-10-10,0.0022276537
2012-10-11,-0.0080539939
2012-10-12,0.0009815167
2012-10-15,-0.0029592405
2012-10-16,5.00309e-05
2012-10-17,0.0032446988999999997
2012-10-18,0.0123811632
2012-10-19,-0.0015884126000000002
2012-10-22,0.0020936878
2012-10-23,-0.0085855967
2012-10-24,0.0007297416
2012-10-25,-0.0068100511
2012-10-26,-0.0168306703
2012-10-29,-0.0035165851999999997
2012-10-30,0.0016532754999999998
2012-10-31,0.0031677501
2012-11-01,0.0171822435
2012-11-02,0.0059959286
2012-11-05,-0.0014260436
2012-11-06,-0.0037974917000000003
2012-11-07,-0.0001277304
2012-11-08,-0.016251371299999998
2012-11-09,-0.0011788508
2012-11-12,0.0049331414
2012-11-13,-0.0150942108
2012-11-14,0.0036769571000000003
2012-11-15,-0.0122257311
2012-11-16,-0.0076663925
2012-11-19,0.0011202521
2012-11-20,-0.0039955736
2012-11-21,0.010650482900000001
2012-11-22,-0.0072441818
2012-11-23,0.0058409088
2012-11-26,-0.004893005000000001
2012-11-27,-0.0130356725
2012-11-28,-0.0088601397
2012-11-29,-0.0050848153
2012-11-30,0.0084691121
2012-12-03,-0.010277170499999998
2012-12-04,0.0078458307
2012-12-05,0.028739184999999997
2012-12-06,-0.0013140365000000002
2012-12-07,0.016040019000000003
2012-12-10,0.0106626003
2012-12-11,-0.0043507681
2012-12-12,0.0038665757
2012-12-13,-0.0102029744
2012-12-14,0.043245228200000006
2012-12-17,0.0045182213999999995
2012-12-18,0.0009822519
2012-12-19,-0.000104048
2012-12-20,0.0028276245
2012-12-21,-0.0069375235
2012-12-24,0.0026670568
2012-12-25,0.0252694121
2012-12-26,0.0024941148
2012-12-27,-0.0059640436
2012-12-28,0.012400851
2012-12-31,0.0160644656
2013-01-04,0.0034656484999999997
2013-01-07,0.0036767806
2013-01-08,-0.0040667482
2013-01-09,-0.0003207283
2013-01-10,0.0036557174
2013-01-11,-0.0178052055
2013-01-14,0.0306478341
2013-01-15,0.006030955
2013-01-16,-0.006958389000000001
2013-01-17,-0.0106473309
2013-01-18,0.0140753964
2013-01-21,0.0048125434
2013-01-22,-0.0056188824000000005
2013-01-23,0.0024931548
2013-01-24,-0.0078904361
2013-01-25,-0.0049048944
2013-01-28,0.0240915217
2013-01-29,0.0053151389
2013-01-30,0.0099610975
2013-01-31,0.001236949
2013-02-01,0.0140847196
2013-02-04,0.0037759092999999997
2013-02-05,0.0020492934
2013-02-06,0.0005536079
2013-02-07,-0.0065504829
2013-02-08,0.0057357155
2013-02-18,-0.0044581447000000005
2013-02-19,-0.015958321
2013-02-20,0.0059859483
2013-02-21,-0.029712854
2013-02-22,-0.0050676046
2013-02-25,0.005036376
2013-02-26,-0.0139641133
2013-02-27,0.0086681396
2013-02-28,0.0226407346
2013-03-01,-0.0025731391999999995
2013-03-04,-0.0364915368
2013-03-05,0.0232699511
2013-03-06,0.0089725943
2013-03-07,-0.0097504281
2013-03-08,-0.0024446143
2013-03-11,-0.0034581049000000003
2013-03-12,-0.0103817505
2013-03-13,-0.0098998297
2013-03-14,0.0027867002
2013-03-15,0.003578418
2013-03-18,-0.0168473416
2013-03-19,0.0077758373
2013-03-20,0.0265522713
2013-03-21,0.0029636994
2013-03-22,0.0017364801
2013-03-25,-0.0006713115999999999
2013-03-26,-0.0124836948
2013-03-27,0.0015624531
2013-03-28,-0.028226722899999997
2013-03-29,0.0001426462
2013-04-01,-0.0009952513
2013-04-02,-0.0029784348999999997
2013-04-03,-0.0010975248
2013-04-08,-0.0061578353
2013-04-09,0.0064130274
2013-04-10,0.0001576979
2013-04-11,-0.0029526631
2013-04-12,-0.005754762300000001
2013-04-15,-0.011255313199999999
2013-04-16,0.0059139977
2013-04-17,-0.00047839350000000003
2013-04-18,0.0017348924
2013-04-19,0.0214056048
2013-04-22,-0.0011021797
2013-04-23,-0.0257032365
2013-04-24,0.015463223800000002
2013-04-25,-0.0085700066
2013-04-26,-0.0097280643
2013-05-02,-0.0017397397000000002
2013-05-03,0.0144306463
2013-05-06,0.0116386465
2013-05-07,0.0019760968
2013-05-08,0.0047974235
2013-05-09,-0.005933757699999999
2013-05-10,0.0062069772
2013-05-13,-0.0021857452
2013-05-14,-0.011111012
2013-05-15,0.0035123883
2013-05-16,0.012139984
2013-05-17,0.0137951493
2013-05-20,0.0074975798
2013-05-21,0.0022295788
2013-05-22,-0.0011760807
2013-05-23,-0.0116122156
2013-05-24,0.005653727
2013-05-27,0.0019855514
2013-05-28,0.0123157661
2013-05-29,0.0011627015
2013-05-30,-0.0026970543
2013-05-31,-0.0074011465
2013-06-03,-0.000583762
2013-06-04,-0.0116716219
2013-06-05,-0.0006534895
2013-06-06,-0.0126912707
2013-06-07,-0.0139208157
2013-06-13,-0.0282885054
2013-06-14,0.006370455499999999
2013-06-17,-0.0026946759999999996
2013-06-18,0.0014265738999999999
2013-06-19,-0.0073343519
2013-06-20,-0.027727676899999998
2013-06-21,-0.0052427495
2013-06-24,-0.0529932299
2013-06-25,-0.0018983973000000001
2013-06-26,-0.0040892918
2013-06-27,-0.0007594178
2013-06-28,0.0149706694
2013-07-01,0.008102239
2013-07-02,0.0056724949
2013-07-03,-0.006125907000000001
2013-07-04,0.0059320011
2013-07-05,0.0005488266
2013-07-08,-0.024375261199999998
2013-07-09,0.0036670066
2013-07-10,0.021711014400000003
2013-07-11,0.03230126
2013-07-12,-0.0161626365
2013-07-15,0.0097593217
2013-07-16,0.0030737257
2013-07-17,-0.0100681603
2013-07-18,-0.010526562900000001
2013-07-19,-0.0151962344
2013-07-22,0.0060793476999999995
2013-07-23,0.0195105454
2013-07-24,-0.0051602935
2013-07-25,-0.0059778816
2013-07-26,-0.0051079224
2013-07-29,-0.017178805
2013-07-30,0.006961472600000001
2013-07-31,0.0018768240999999998
2013-08-01,0.0176888443
2013-08-02,0.0001729859
2013-08-05,0.0103788377
2013-08-06,0.0048861706
2013-08-07,-0.0066595487
2013-08-08,-0.0009199825
2013-08-09,0.0035894264
2013-08-12,0.0238997971
2013-08-13,0.0023190594
2013-08-14,-0.0028578130000000003
2013-08-15,-0.0086932424
2013-08-16,-0.006449939500000001
2013-08-19,0.0082912245
2013-08-20,-0.0062365686
2013-08-21,0.0001765902
2013-08-22,-0.002815779
2013-08-23,-0.004676062
2013-08-26,0.0189632061
2013-08-27,0.0033832997999999996
2013-08-28,-0.0010772179
2013-08-29,-0.0019387989
2013-08-30,0.0005507272
2013-09-02,3.14528e-05
2013-09-03,0.0117534483
2013-09-04,0.0021223562000000002
2013-09-05,-0.0024384076
2013-09-06,0.008274949
2013-09-09,0.0338893632
2013-09-10,0.0115108772
2013-09-11,0.0014673921000000001
2013-09-12,0.0063968254
2013-09-13,-0.0085954766
2013-09-16,-0.0021536371
2013-09-17,-0.0205435957
2013-09-18,0.0028784385000000003
2013-09-23,0.0133188798
2013-09-24,-0.0060840758
2013-09-25,-0.0040842009
2013-09-26,-0.01942493
2013-09-27,0.0019565741
2013-09-30,0.0067767671
2013-10-08,0.0108218967
2013-10-09,0.006173235500000001
2013-10-10,-0.0094223221
2013-10-11,0.0169868581
2013-10-14,0.0043206325
2013-10-15,-0.0019488125
2013-10-16,-0.0180611549
2013-10-17,-0.0020665057
2013-10-18,0.0023933742
2013-10-21,0.016162514
2013-10-22,-0.0083369332
2013-10-23,-0.012460124900000001
2013-10-24,-0.008604708800000001
2013-10-25,-0.014492760300000001
2013-10-28,0.00042851350000000006
2013-10-29,-0.0023455048000000003
2013-10-30,0.014843127599999999
2013-10-31,-0.008724518799999999
2013-11-01,0.0037112197
2013-11-04,3.34952e-05
2013-11-05,0.0035382766999999997
2013-11-06,-0.0081738703
2013-11-07,-0.0047705022
2013-11-08,-0.0109293698
2013-11-11,0.0015877484999999999
2013-11-12,0.0082015823
2013-11-13,-0.0182581866
2013-11-14,0.0060178904
2013-11-15,0.0168154721
2013-11-18,0.028743901100000004
2013-11-19,-0.0018632644
2013-11-20,0.0061501282
2013-11-21,-0.00038384620000000004
2013-11-22,-0.0042561178
2013-11-25,-0.004672693
2013-11-26,-0.0013915096
2013-11-27,0.0082438837
2013-11-28,0.0083150468
2013-11-29,0.0005100542
2013-12-02,-0.005914422999999999
2013-12-03,0.0069308693
2013-12-04,0.0130887626
2013-12-05,-0.0020868101999999998
2013-12-06,-0.0044302274
2013-12-09,0.0004881302
2013-12-10,-0.0003163256
2013-12-11,-0.0148943549
2013-12-12,-0.0006215503
2013-12-13,-0.0030511223
2013-12-16,-0.0160349715
2013-12-17,-0.0045268992
2013-12-18,-0.001298883
2013-12-19,-0.0095392371
2013-12-20,-0.0202078023
2013-12-23,0.0023565877
2013-12-24,0.0015303581
2013-12-25,0.0064259964
2013-12-26,-0.015787944499999998
2013-12-27,0.0135796699
2013-12-30,-0.0017713256999999998
2013-12-31,0.0087955876
2014-01-02,-0.0031148716999999998
2014-01-03,-0.0124448477
2014-01-06,-0.0179666618
2014-01-07,0.0007860356
2014-01-08,-0.0014540981999999999
2014-01-09,-0.0081777004
2014-01-10,-0.007064433100000001
2014-01-13,-0.0018546683
2014-01-14,0.0085978849
2014-01-15,-0.0017238639999999999
2014-01-16,0.0001744633
2014-01-17,-0.009266191
2014-01-20,-0.0068310965
2014-01-21,0.0085674698
2014-01-22,0.0216281028
2014-01-23,-0.0046638258
2014-01-24,0.0059798842
2014-01-27,-0.010266784499999999
2014-01-28,0.0025638125
2014-01-29,0.0055928022
2014-01-30,-0.0082105883
2014-02-07,0.0056141338
2014-02-10,0.0203326295
2014-02-11,0.0084388469
2014-02-12,0.0029871590999999997
2014-02-13,-0.005475946200000001
2014-02-14,0.0083144261
2014-02-17,0.0092478288
2014-02-18,-0.007656123
2014-02-19,0.0110841286
2014-02-20,-0.0017605156999999998
2014-02-21,-0.0117305083
2014-02-24,-0.017508219000000002
2014-02-25,-0.0204494083
2014-02-26,0.0034583297000000002
2014-02-27,0.0029883591
2014-02-28,0.0043705192
